"","company_id","company_name","years","Avg_Stock_Price","Avg_TTM_Net_EPS","PE_Ratio","status"
"1",1,"Rite Aid",2023,2.14,-20.2,-0.105940594,"Defunct"
"2",1,"Rite Aid",2022,6.74,-13.54,-0.497784343,"Defunct"
"3",1,"Rite Aid",2021,16.98,-1.98,-8.575757576,"Defunct"
"4",1,"Rite Aid",2020,13.24,-7.57,-1.749009247,"Defunct"
"5",1,"Rite Aid",2019,9.5,-9.52,-0.99789916,"Defunct"
"6",1,"Rite Aid",2018,30.25,16.65,1.816816817,"Defunct"
"7",1,"Rite Aid",2017,69.2,0.8,86.5,"Defunct"
"8",1,"Rite Aid",2016,155.7,2.55,61.05882353,"Defunct"
"9",1,"Rite Aid",2015,164.15,39.6,4.14520202,"Defunct"
"10",1,"Rite Aid",2014,133.25,4.95,26.91919192,"Defunct"
"11",1,"Rite Aid",2013,69.8,4.85,14.39175258,"Defunct"
"12",1,"Rite Aid",2012,25.2,-6.55,-3.847328244,"Defunct"
"13",1,"Rite Aid",2011,23.4,-11.35,-2.061674009,"Defunct"
"14",1,"Rite Aid",2010,22.4,-12.35,-1.813765182,"Defunct"
"15",1,"Rite Aid",2009,25.6,-60.4,-0.42384106,"Defunct"
"16",2,"Universal Display (Joled)",2025,154.36,0,0,"Defunct"
"17",2,"Universal Display (Joled)",2024,183.43,4.72,38.86228814,"Defunct"
"18",2,"Universal Display (Joled)",2023,160.37,4.27,37.55737705,"Defunct"
"19",2,"Universal Display (Joled)",2022,115.28,4.02,28.67661692,"Defunct"
"20",2,"Universal Display (Joled)",2021,193.4,3.72,51.98924731,"Defunct"
"21",2,"Universal Display (Joled)",2020,167.77,2.56,65.53515625,"Defunct"
"22",2,"Universal Display (Joled)",2019,172.72,2.48,69.64516129,"Defunct"
"23",2,"Universal Display (Joled)",2018,96.04,1.55,61.96129032,"Defunct"
"24",2,"Universal Display (Joled)",2017,119.57,1.79,66.79888268,"Defunct"
"25",2,"Universal Display (Joled)",2016,56.2,0.81,69.38271605,"Defunct"
"26",2,"Universal Display (Joled)",2015,44.92,0.38,118.2105263,"Defunct"
"27",2,"Universal Display (Joled)",2014,29.91,1.61,18.57763975,"Defunct"
"28",2,"Universal Display (Joled)",2013,29.8,0.6,49.66666667,"Defunct"
"29",2,"Universal Display (Joled)",2012,31.84,0.26,122.4615385,"Defunct"
"30",2,"Universal Display (Joled)",2011,42.02,-0.47,-89.40425532,"Defunct"
"31",2,"Universal Display (Joled)",2010,20.17,-0.48,-42.02083333,"Defunct"
"32",2,"Universal Display (Joled)",2009,11.89,-0.56,-21.23214286,"Defunct"
"33",3,"Metro-Goldwyn-Mayer (MGM)",2025,32.53,0,0,"Defunct"
"34",3,"Metro-Goldwyn-Mayer (MGM)",2024,41.35,2.61,15.84291188,"Defunct"
"35",3,"Metro-Goldwyn-Mayer (MGM)",2023,42.44,2.96,14.33783784,"Defunct"
"36",3,"Metro-Goldwyn-Mayer (MGM)",2022,33.53,4.13,8.118644068,"Defunct"
"37",3,"Metro-Goldwyn-Mayer (MGM)",2021,42.15,-0.79,-53.35443038,"Defunct"
"38",3,"Metro-Goldwyn-Mayer (MGM)",2020,20.45,2.53,8.083003953,"Defunct"
"39",3,"Metro-Goldwyn-Mayer (MGM)",2019,28.37,1.19,23.84033613,"Defunct"
"40",3,"Metro-Goldwyn-Mayer (MGM)",2018,28.06,2.69,10.43122677,"Defunct"
"41",3,"Metro-Goldwyn-Mayer (MGM)",2017,29.69,2.07,14.34299517,"Defunct"
"42",3,"Metro-Goldwyn-Mayer (MGM)",2016,23.34,0.28,83.35714286,"Defunct"
"43",3,"Metro-Goldwyn-Mayer (MGM)",2015,18.98,-0.32,-59.3125,"Defunct"
"44",3,"Metro-Goldwyn-Mayer (MGM)",2014,22.74,0.03,758,"Defunct"
"45",3,"Metro-Goldwyn-Mayer (MGM)",2013,16.96,-2.32,-7.310344828,"Defunct"
"46",3,"Metro-Goldwyn-Mayer (MGM)",2012,11.12,-0.22,-50.54545455,"Defunct"
"47",3,"Metro-Goldwyn-Mayer (MGM)",2011,10.87,3.22,3.375776398,"Defunct"
"48",3,"Metro-Goldwyn-Mayer (MGM)",2010,11.27,-3.89,-2.897172237,"Defunct"
"49",3,"Metro-Goldwyn-Mayer (MGM)",2009,8.61,-2.9,-2.968965517,"Defunct"
"50",5,"Eastman Kodak",2025,6.67,0,0,"Defunct"
"51",5,"Eastman Kodak",2024,5.4,0.64,8.4375,"Defunct"
"52",5,"Eastman Kodak",2023,4.21,0.62,6.790322581,"Defunct"
"53",5,"Eastman Kodak",2022,4.09,0.06,68.16666667,"Defunct"
"54",5,"Eastman Kodak",2021,6.92,-3.25,-2.129230769,"Defunct"
"55",5,"Eastman Kodak",2020,5.23,-5.28,-0.990530303,"Defunct"
"56",5,"Eastman Kodak",2019,3.16,2.92,1.082191781,"Defunct"
"57",5,"Eastman Kodak",2018,3.7,1.13,3.274336283,"Defunct"
"58",5,"Eastman Kodak",2017,7.76,0.5,15.52,"Defunct"
"59",5,"Eastman Kodak",2016,14.36,-0.06,-239.3333333,"Defunct"
"60",5,"Eastman Kodak",2015,15.99,-2.86,-5.590909091,"Defunct"
"61",5,"Eastman Kodak",2014,22.72,-1.56,-14.56410256,"Defunct"
